seed_id,listing_name,listing_owner
W00542,The Staircase Studio (Selwyn) LLP,Oscar Selwyn
W00180,Radcliffe Boat Building Limited,Lawrence Radcliffe
W00212,Bridges and Sons - Joinery & Woodwork,Thomas Bridges
W00201,Callum Shopfitting - D. Callum,David Callum
W00401,"Chivell, Hugo - Carpentry & Joinery",Hugo Chivell
W00062,Templeton Staircases (Reginald Templeton),Reginald Templeton
W00269,Rigby Fine Polishing - C. Rigby Ltd,Colin Rigby
W00382,Baxter & Sons - Master Joiners,Keith Baxter
W00124,"Price, G. & Sons Shopfitters",Geraint Price
W00063,DRAKE & SONS BOAT BUILDING - Marine Specialists,Oscar Drake
W00002,Brocklehurst and Sons & Co,Geoffrey Brocklehurst
W00552,Kenyon Shopfitting | Commercial Interiors,Alan Kenyon
W00208,Mallow Woodturning - I. Mallow,Ian Mallow
W00541,Norfolk Carpentry Limited,Graham Norfolk
W00012,Loxley French Polishing (Graham Loxley),Graham Loxley
W00444,"Hardcastle, G. - Joinery & Sons",George Hardcastle
W00198,"Paine, S. - Master Joiner",Stephen Paine
W00010,Widdicombe Wood Turning (Alastair Widdicombe) LLP,Alastair Widdicombe
W00255,Prestwich Joinery & Cabinetry,G. Prestwich
W00563,SLOAN Staircases - Bespoke Designs|Installations,Alfred Sloan
W00515,Gerrick Boat Building (est 1992),Ian Gerrick
W00613,"Beaver, P. - Shopfitting & Interiors",Philip Beaver
W00284,Lancing Shopfitting Limited,Derek Lancing
W00463,Gable Carpentry & Co,D. Gable
W00313,"Miles, Derek - French Polishing & Antique Restoration",Derek Miles
W00084,Ormsby French Polishing Ltd,M. Ormsby
W00464,Thorneley Wood Turning - Traditional Lathe Work,Ian Thorneley
W00225,L. Gordon - Shopfitting Specialist,Lachlan Gordon
W00102,MONTGOMERY Shopfitting Ltd - Retail Displays,Philip Montgomery
W00171,Kitteridge Joinery (Brendan Kitteridge) Limited Liability Partnership,Brendan Kitteridge
W00489,Ballard Boat Building - Traditional Wooden Boats,Julian Ballard
W00421,Paxman Wood Turners Ltd,C. Paxman
W00207,Fairchild Joinery & Sons,Geoffrey Fairchild
W00085,Wetherill and Sons - Master Wood Turners,Clive Wetherill
W00153,Trevithick Joinery (Gareth Trevithick) Ltd,Gareth Trevithick
W00358,Nightingale Wood Turning - Oscar Nightingale,Oscar Nightingale
W00449,"Thistlewood Fine Furniture, t/a Alistair Thistlewood",Alistair Thistlewood
W00398,"Vinnicombe, A. - French Polisher",Arthur Vinnicombe
W00240,Sallow Carpentry Ltd,Ian Sallow
W00049,Bleeker Staircase Specialists (Ltd),O. Bleeker
W00139,Merrick Staircases - Custom Builds & Repairs,Owen Merrick
W00156,"Carland, V. - French Polishing & Furniture Restoration",Victor Carland
W00274,CHADWICK French Polishing Limited,Liam Chadwick
W00055,Marsden & Co - Antique Polishers,Hugo Marsden
W00226,A. MacPherson - Woodturning | Spindles | Bowls,Angus MacPherson
W00250,Lowry and Sons Boat Building (est 1984),Terence Lowry
W00170,"Polglaze Fine Furniture, t/a H. Polglaze",Heath Polglaze
W00292,Tillinghast Cabinets Ltd,Leo Tillinghast
W00148,SEDGE & SONS - Staircase Specialists,Bernard Sedge
W00527,Muir Shopfitting & Interiors,Robert Muir
W00189,"Prescott Polishing, t/a M. Prescott Ltd",Miles Prescott
W00327,"Wetherby, J. - Carpentry & Joinery",Julian Wetherby
W00113,DAVIES Joinery and Sons,Rhys Davies
W00027,Trewin's Bespoke Cabinets Limited,Geoffrey Trewin
W00094,Muirhead & Sons - Master Joiners,Callum Muirhead
W00133,The Shopfitting Studio (Tate),Barry Tate
W00086,Naylor Shopfitting LLP | Retail Fit-Outs,Geoffrey Naylor
W00404,Trevelyan Staircases - Traditional & Modern,Miles Trevelyan
W00114,"Gwynne Fine Cabinetry, t/a A. Gwynne",Alun Gwynne
W00502,NORTH JOINERY LTD - Windows & Doors,Alan North
W00169,Trevail Carpentry & Installations,Owen Trevail
W00395,"Horton, A. - Joinery & Woodwork",Alan Horton
W00220,MacCallum & Sons Shopfitting Limited,Alistair MacCallum
W00038,Thorne Woodworking (Ian Thorne),Ian Thorne
W00362,Savage Carpentry | Joinery | Renovations,Keith Savage
W00457,Witherington Joinery and Company,George Witherington
W00383,"Greig, C. - Carpentry & General Woodwork",Cameron Greig
W00407,Tregenna & Sons Carpentry (est. 1984),Barry Tregenna
W00346,Dunwoody French Polishing - Antique Restoration & Finishes,L. Dunwoody
W00115,The Staircase Expert (Meredith) Ltd,Iwan Meredith
W00361,BECKETT Shopfitting & Interior Fit-outs,Lawrence Beckett
W00267,Holden Shopfitting Limited t/a P. Holden,Paul Holden
W00403,Fenby Wood Turning - Bespoke Spindles|Bowls|Legs,Oscar Fenby
W00485,"Trevethan, O. - Master Cabinet Maker",Owen Trevethan
W00213,WAINWRIGHT Carpentry Ltd - All Trade Woodwork,Stuart Wainwright
W00500,Beamish Joinery & Co,Gordon Beamish
W00578,Kettle Shopfitting LLP - Retail & Commercial,Simon Kettle
W00582,"Ross, I. - Thistle Woodturning",Ian Ross
W00438,Grosvenor Wood Turning - Traditional Lathe Work,Miles Grosvenor
W00315,Weldon Boat Building & Maintenance Ltd,Arthur Weldon
W00495,Thirlwall Staircases - Specialist Design & Install,Ian Thirlwall
W00030,"Gidley, S. - French Polishing & Varnish",Simon Gidley
W00187,Heywood's Cabinetry (Gordon Heywood),Gordon Heywood
W00364,GARRETT Staircase Specialists Limited,Timothy Garrett
W00405,Keigwin & Sons - French Polishers & Restorers,Randolph Keigwin
W00454,Birkby Joinery - Stephen Birkby Ltd,Stephen Birkby
W00047,Tallis Boat Building - Traditional Craftsmanship,Rupert Tallis
W00105,L. Innes Boat Building Limited,Lachlan Innes
W00202,BROADLEY & SONS Wood Turners,Keith Broadley
W00088,McCallum Shopfitting - Commercial Fit-outs,Alastair McCallum
W00370,Kendal Cabinetry t/a P. Kendal,Philip Kendal
W00439,"Eldridge, C. - Traditional Boat Building",Clive Eldridge
W00391,PRENTICE Shopfitting Limited - Retail & Commercial,David Prentice
W00510,Hirst & Sons (Wood Turners),N. Hirst
W00574,Norris & Sons - Shopfitting | Displays | Fit-outs,Kevin Norris
W00557,Widdowson Boat Builders - t/a F. Widdowson,Frank Widdowson
W00307,Evans Cabinetry & Woodwork,Dafydd Evans
W00530,"Findlay, B. - Master Wood Turner Ltd",Bruce Findlay
W00121,Rhys Fine Cabinets (Euros Rhys),Euros Rhys
W00089,FORREST & SONS Shopfitting Ltd,Gordon Forrest
W00562,Gorman Boat Building - Marine Specialists,T. Gorman
W00194,Drayton Carpentry & Joinery (Ltd),Simon Drayton
W00163,"Tregaskins, M. - Joiner",Miles Tregaskins
W00418,Marlowe Wood Turning & Finishing,Felix Marlowe
W00283,Tregarthen Cabinetry - Bespoke Furniture,G. Tregarthen
W00046,Grose & Sons - Carpenters & Builders,Edwin Grose
W00287,POUND and Sons Joiners,Reginald Pound
W00347,Wickens Cabinet Making - (est. 1988),Marcus Wickens
W00356,"Perrin, A. - Specialist Boat Builder",Alastair Perrin
W00376,SCALE Cabinet Makers Limited,Peter Scale
W00309,Hughes Shopfitting & Interiors,P. Hughes
W00280,Bancroft Wood Turning & Co,Hugo Bancroft
W00422,Thatcher Woodworking - Custom Orders,Gareth Thatcher
W00244,CLUTTERBUCK & SONS Joinery Ltd,Percy Clutterbuck
W00490,"Gwilliam, T. - Carpenter",Trystan Gwilliam
W00203,Stanton Boat Builders - Marine Craft Ltd,Miles Stanton
W00520,"Zouch, F. - Traditional Boat Building",Felix Zouch
W00379,MENZIES French Polishing & Furniture Restoration,Ewan Menzies
W00206,Weston Shopfitting Ltd - Retail & Commercial,Derek Weston
W00568,The Staircase Expert (Hawthorn) Ltd,Peter Hawthorn
W00289,"Claridge, H. - Master Joiner",Hugh Claridge
W00093,BRAIDWOOD Staircases | Bespoke Designs | Ltd,Duncan Braidwood
W00472,Gault and Sons Carpentry (est. 1984),Oscar Gault
W00301,"Ritchie, K. - Carpentry & Joinery Services",Kevin Ritchie
W00352,"Grendell Shopfitting, t/a P. Grendell",Philip Grendell
W00585,RYLANDS CABINETRY LLP - Fine Woodworking,Gordon Rylands
W00406,Nancarrow Wood Turning & Spindle Work,Quentin Nancarrow
W00172,"Sandoe, P. (Wood Turner) Limited",Perry Sandoe
W00253,Whitening Carpentry - Stephen Whitening,Stephen Whitening
W00135,"Wormley Woodturning, t/a S. Wormley",Sian Wormley
W00521,Kendal and Company Shopfitters,Marcus Kendal
W00261,Fairfax Staircase Specialists - Hugo Fairfax,Hugo Fairfax
W00159,"Trelawny, H. - Cabinet Maker & Restorer",Hugo Trelawny
W00601,BURNETT & SONS Carpentry & Building,Alistair Burnett
W00378,Mellor Staircases Limited - Specialists,Anthony Mellor
W00466,"Bridger, P. - Joinery & Fit-outs",Philip Bridger
W00612,Crosland and Sons (Carpenters),William Crosland
W00618,WESTERLEIGH Staircase Specialist LLP,Julian Westerleigh
W00028,Kemp's Carpentry - Marcus Kemp,Marcus Kemp
W00387,Havard Shopfitting Limited - Paul Havard,Paul Havard
W00111,"Llewellyn, O. - Cabinet Maker",Owain Llewellyn
W00545,"Vinken, H. - Specialist Shopfitting",Hendrik Vinken
W00235,STEWART Shopfitting Ltd - Retail Interiors,Duncan Stewart
W00265,"Dunlop, I. - Carpentry & General Woodwork",Ian Dunlop
W00310,Morris Joinery & Co (est. 1988),Craig Morris
W00561,Fairburn and Sons - Master Staircase Makers,Dennis Fairburn
W00199,Hestor Shopfitting | Commercial Fit-Outs,Timothy Hestor
W00478,"Gow, F. - Carpentry & Joinery Services",Fraser Gow
W00623,The Wood Turning Studio (Tidswell),Philip Tidswell
W00108,"Paisley, A. - French Polishing & Furniture Restore",Arthur Paisley
W00459,Bridgeman & Sons Carpentry Ltd,Rupert Bridgeman
W00073,Broughton Wood Turning - Traditional Lathe Work,Harold Broughton
W00147,Gorse Joinery (Franklin Gorse) LLP,Franklin Gorse
W00335,Callow & Sons Staircases | Bespoke Woodwork,Rupert Callow
W00606,HARRIES JOINERY - Toby Harries Ltd,Toby Harries
W00247,Smythe & Sons Cabinet Makers (Limited),Walter Smythe
W00131,"Gwilym, H. - Joiners & Woodwork",Hywel Gwilym
W00150,PIKE Shopfitting Ltd - Commercial & Retail,Graham Pike
W00061,Kinsley Wood Turning LLP (Nigel Kinsley),Nigel Kinsley
W00020,Belmont Staircase Specialists - Adrian Belmont,Adrian Belmont
W00501,"Morley, K. - Shopfitting & Installations",Kevin Morley
W00354,Yardley French Polishing (L. Yardley),Lawrence Yardley
W00017,HUXLEY Shopfitting - Specialist Fit-outs,Nigel Huxley
W00399,Bleakley & Co Shopfitting LLP,Derek Bleakley
W00211,"Langley, P. - Fine Cabinet Making",Piers Langley
W00174,Wellington Woodwork Limited - Simon Wellington,Simon Wellington
W00273,"Oates, B. - Traditional Boat Building",Barry Oates
W00551,HUTCHINSON & SONS - Joinery & Woodwork Limited,Robert Hutchinson
W00330,Westery Woodturning | Bespoke Bowls & Spindles,Simon Westery
W00178,"Molyneux, S. - Carpentry Services",Stephen Molyneux
W00179,Kershaw & Sons (est 1984) Master Cabinet Makers,Philip Kershaw
W00074,Mirehouse Carpentry & Home Improvements,Stephen Mirehouse
W00304,"Dunbar, P. & Sons - Carpentry",Philip Dunbar
W00324,Ridley Wood Turning - Edward Ridley,Edward Ridley
W00479,M Blair - French Polishing & Furniture Restoration,Malcolm Blair
W00566,BRAITHWAITE JOINERS LLP - Windows|Doors|Sash,Colin Braithwaite
W00231,MacDonald & Sons Shopfitting Limited,Kenneth MacDonald
W00366,Kirkbride Cabinet Makers (D. Kirkbride & Sons),Derek Kirkbride
W00116,Vaughan Shopfitting - Retail Fit-outs,Cliff Vaughan
W00470,Alder Wood Turning - T. Alder,Timothy Alder
W00462,Pendergast & Sons Joiners & Co,Geoffrey Pendergast
W00486,Dyke Staircases LLP - Specialist Woodwork,Simon Dyke
W00326,Hogg & Sons - Joinery Specialists,Philip Hogg
W00236,"Wallace, R. Wood Turning",Ronald Wallace
W00448,Winston & Sons Joinery Ltd,Oscar Winston
W00412,Brocklebank Boat Builders - S. Brocklebank Ltd,Stephen Brocklebank
W00106,"Crawford, D. Shopfitting",Derek Crawford
W00103,SUTHERLAND WOOD TURNERS LLP,Alistair Sutherland
W00243,"Orpington, B. - Wood Turning",Basil Orpington
W00345,Tolson & Sons Joinery Services,Bernard Tolson
W00258,Wren Woodturning - Silas Wren,Silas Wren
W00184,"Yate, N. - Specialist Staircases",Nigel Yate
W00331,Halloway and Sons (est 1984) Master Joiners,Marcus Halloway
W00595,GLYN CARPENTRY | Bespoke Framing & Flooring,Owen Glyn
W00197,Gisburn Boat Building Limited - Traditional Crafts,L. Gisburn
W00142,"Tiller Woodturning, t/a S. Tiller",Simon Tiller
W00192,"Muttitt, G. - Fine Woodturning & Lathe Work",Geoffrey Muttitt
W00234,MacKinnon Boat Builders Ltd - Marine Carpentry,Gregor MacKinnon
W00461,The Staircase Studio (Ellerton) Ltd,Graham Ellerton
W00571,Ashbourne Carpentry & Co - Domestic & Commercial,Miles Ashbourne
W00508,Pickles & Sons Joiners,Gordon Pickles
W00022,GRIMSHAW BOAT BUILDING - Custom Launches,Derek Grimshaw
W00257,"Belsham Fine Furniture, t/a J. Belsham Ltd",Julian Belsham
W00524,"Banks, M. - Shopfitting & Retail Fit-outs",Miles Banks
W00132,Powell and Sons Cabinet Makers (Family Run),Alistair Powell
W00067,Satterthwaite Woodturning - Ian Satterthwaite,Ian Satterthwaite
W00465,A. Vance - French Polisher & Furniture Restore,Arthur Vance
W00053,Fairweather Boat Buildng | Traditional Hulls,Alastair Fairweather
W00125,Griffiths Cabinetry Ltd,Dai Griffiths
W00059,"Whitlock, I. - French Polishing",Ian Whitlock
W00622,HOLLINS JOINERY LTD - Doors|Windows|Floors,Graham Hollins
W00408,"Jago, C. - Bespoke Cabinet Maker",Cliff Jago
W00190,Belton Shopfitting & Co,Marcus Belton
W00564,Westcott Shopfitting Limited - Retail Design,Simon Westcott
W00087,Cartwright Woodturning (Ltd),Alan Cartwright
W00228,"Cameron, N. - Antique French Polishing",Neil Cameron
W00057,"Renton, P. - Staircase Specialists",Philip Renton
W00499,"Elliot Fine Furniture, t/a S. Elliot",Sarah Elliot
W00494,MILBURN AND SONS - Master Joiners,Arthur Milburn
W00540,K. Dunn Shopfitting | Retail & Commercial,Kevin Dunn
W00328,Northumberland Staircases Ltd,George Northumberland
W00003,Thwaite Boat Building (Traditional Crafts),Ian Thwaite
W00095,ROSS Shopfitting & Maintenance Services,Andrew Ross
W00191,"Kelson, D. - Cabinet Maker",Derek Kelson
W00615,The Cabinet Workshop (Siddle),Nigel Siddle
W00529,Young & Sons - Staircases|Joinery|Carpentry,George Young
W00522,Staines Joinery Limited,Philip Staines
W00437,"Hedgecote, N. - Bespoke Joiners",Nigel Hedgecote
W00157,Gribble Shopfitting (est. 1988),Nigel Gribble
W00592,TROWBRIDGE STAIRCASE SPECIALISTS,Alastair Trowbridge
W00196,Trotter Shopfitting & Co,Kevin Trotter
W00168,Nuttall & Sons Joinery Ltd,Reginald Nuttall
W00333,Tidwell & Sons (General Joiners),Reginald Tidwell
W00218,"Middleton Shopfitting Services, t/a H. Middleton",Harry Middleton
W00397,Pennance Cabinet Makers - Bespoke Furniture,Geoffrey Pennance
W00110,"Bevan, G. - Cabinet Maker & Woodturner",Gareth Bevan
W00119,Tudor French Polishing & Restoration,Helen Tudor
W00567,"Alderley, G. - Shopfitter",Graham Alderley
W00215,RYDELL JOINERY,Nigel Rydell
W00411,Warington and Sons Joinery Ltd,Arthur Warington
W00355,Saffron Cabinet Making - Fine Woodwork,Julian Saffron
W00631,"Parris, S. - Master Joiners",Simon Parris
W00503,M. Clough Joinery & Woodwork,Martin Clough
W00080,GREAVES CABINET MAKING - Fine Furniture & Restoration,Victor Greaves
W00312,"Owens Cabinet Making, t/a I. Owens",Iestyn Owens
W00217,Grover & Co. Cabinet Makers Limited,Basil Grover
W00015,Nethercott and Sons (est. 1984) Joiners,Philip Nethercott
W00241,Kerr Shopfitting | Retail Interiors,Nigel Kerr
W00023,Sterling French Polishing - O. Sterling,Owen Sterling
W00266,"Hawthorne, M. - Bespoke Cabinetry",Miles Hawthorne
W00414,DEWHURST CARPENTRY LTD - Doors|Windows|Flooring,Nigel Dewhurst
W00559,Trotman and Sons Joinery & Woodwork,Barry Trotman
W00435,"Sedgebrook, A. - Joinery Services",Alastair Sedgebrook
W00476,Moncreiffe & Sons (Cabinet Makers) Ltd,Lachlan Moncreiffe
W00282,Harding Wood Turners - C. Harding,Clive Harding
W00488,Wynne Wood Turning Limited - Specialist Lathe Work,Geraint Wynne
W00469,Thornecroft Staircases & Balustrades,Miles Thornecroft
W00123,"Bowers, G. - Staircase Specialist",Glyn Bowers
W00617,Pennyworth Cabinetry Ltd - A. Pennyworth,Alastair Pennyworth
W00531,GRAHAM SHOPFITTING LLP - Commercial Fit-outs,Peter Graham
W00614,"Blackett, O. - Joiners & Carpenters",Oliver Blackett
W00516,Stapleton Shopfitters - M. Stapleton,Miles Stapleton
W00281,Archer Boat Building - Traditional Craft,Heath Archer
W00024,Hallowell & Sons Carpentry & Joinery,Bernard Hallowell
W00375,ULLSWATER JOINERY LTD - Bespoke Windows,David Ullswater
W00627,Hoddinott Shopfitting (Reg. Hoddinott) Ltd,Reginald Hoddinott
W00359,"Rowan, I. - Joiners & Carpenters",Ian Rowan
W00365,GRASMERE BOAT BUILDING (Wainwright),Arthur Wainwright
W00583,Waring Fine Furniture t/a J. Waring,Julian Waring
W00619,Cotswold & Sons Carpentry - Kitchens|Doors,Ian Cotswold
W00371,"Rawlinson, T. - Antique Furniture Restoration",Timothy Rawlinson
W00195,Hadley French Polishing & Co,Philip Hadley
W00450,Langton and Sons (est. 1984) Carpentry,Arthur Langton
W00532,"Livingston, H. - French Polisher Limited",Hugh Livingston
W00482,Logan Woodturning - Specialist Lathe Work,Craig Logan
W00336,KENTON CABINET MAKERS LTD - Bespoke Storage,Graham Kenton
W00496,"Ponsonby, M. - French Polishing",Miles Ponsonby
W00158,Poldarky Joiners & Sons (G. Poldarky),Geoffrey Poldarky
W00475,Arbuthnott Boat Bldg - Traditional Craftsmen,Ewan Arbuthnott
W00227,Mackenzie Shopfitting and Company,Roderick Mackenzie
W00597,"Kincaid, R. - Joiners",Robert Kincaid
W00603,Mackie's Cabinet Making (Fergus Mackie),Fergus Mackie
W00570,PYE FRENCH POLISHING Ltd - Veneering|Repair,Reginald Pye
W00473,"Driftwood Boat Builders, t/a S. Driftwood",Soren Driftwood
W00580,Tidmarsh Shopfitting Limited,Lawrence Tidmarsh
W00575,"Wilder, H. - Carpentry & Joinery",Heath Wilder
W00026,PENHALIGON Boat Building - Falmouth,Alistair Penhaligon
W00556,Maitland Shopfitting LLP (Claire Maitland),Claire Maitland
W00117,Pritchard and Sons Cabinetry,Dylan Pritchard
W00134,Sewell Staircases Ltd - Specialist Installations,Kirsty Sewell
W00252,Gough Wood Turning (R. Gough),Raymond Gough
W00417,"Bramley, D. - Staircases & Banisters",Derek Bramley
W00576,AMES Woodturning (est. 1984),Peter Ames
W00173,Towan Boat Building - Traditional Craftsmen,Crispin Towan
W00210,"Sterndale, A. - French Polishing & Restoration",Alastair Sterndale
W00239,Ostler and Sons Cabinet Makers,Reginald Ostler
W00514,WILDMAN CARPENTRY - Bespoke Fittings,Peter Wildman
W00033,Osborne & Sons Boat Builders Ltd,Reginald Osborne
W00507,Haskins Carpentry | Kitchens | Doors,Arthur Haskins
W00104,Blackwood and Sons (Joinery),Geoffrey Blackwood
W00590,"Haze, T. - Fine Cabinetry",Toby Haze
W00423,GRIMM SHOPFITTING Limited,Marcus Grimm
W00130,Rees Cabinetry | M. Rees,Myfanwy Rees
W00230,"Forbes Shopfitting, t/a Donald Forbes",Donald Forbes
W00045,STARK Cabinet Making (LLP),Miles Stark
W00126,"Watkins, L. - Wood Turner",Lowri Watkins
W00035,Sloane Joinery & Co,Felicity Sloane
W00550,Tinne Boat Building - Marine Specialists,Lars Tinne
W00616,"Liddell, F. - Boat Building",Fiona Liddell
W00144,Wray & Sons Carpentry (est. 1975),Thomas Wray
W00535,BRYN Carpentry & Joinery LLP,Sion Bryn
W00392,"Rutter, G. - Wood Turning & Lathe Work",George Rutter
W00136,Batten Shopfitting Ltd - Commercial Outfits,Clive Batten
W00519,Tidman and Sons (Boat Builders),Albert Tidman
W00350,"Ashwell, C. - French Polisher & Finisher",Clive Ashwell
W00200,Gant Staircases Ltd,Nigel Gant
W00122,"Jenkins, H. - Bespoke Joinery",Huw Jenkins
W00549,"Carthew Fine Furniture, t/a N. Carthew",Norman Carthew
W00165,GODOLPHIN Shopfitting Ltd - Retail & Commercial,Rupert Godolphin
W00320,Gilsland and Sons (est. 1974) Boat Builders,Robert Gilsland
W00275,Warrington & Sons - Joinery|Kitchens|Doors,Stephen Warrington
W00290,Nutt Boat Building Limited,Wesley Nutt
W00322,"Stott, A. - Marine Craft & Boat Building",Alan Stott
W00075,The Shopfitting Studio (Hadrian) Ltd,Lawrence Hadrian
W00219,Sawyer Woodturning - Hand Turned Bowls & Gifts,Heath Sawyer
W00151,M. Kelynack - Carpentry & General Building,Marcus Kelynack
W00161,MENHENICK Carpentry & Co,Terence Menhenick
W00368,Fairfield Woodturning LLP - Traditional Lathe Work,Clive Fairfield
W00424,Crowley & Sons Carpenters,Derek Crowley
W00068,"Grahame, Alastair - Master Cabinet Maker",Alastair Grahame
W00610,Armstrong Joinery Ltd,Thomas Armstrong
W00621,Worsley Shopfitting - Commercial Interiors,Simon Worsley
W00323,Blyth & Sons (Staircase Specialists) Limited,Thomas Blyth
W00232,"Campbell, I. - Carpentry & Woodwork",Iain Campbell
W00099,Gallacher Shopfitting & Sons,Ian Gallacher
W00256,The Staircase Expert (Holt),Francis Holt
W00321,Morpeth Boat Building - Custom Woodcrafts,Derek Morpeth
W00183,BILLINGTON Joinery Ltd,Keith Billington
W00120,Morgan Boat Building & Co,Trevor Morgan
